rr
0.904
0.87
0.91
0.914
0.82
0.904
0.914
0.934
1.05
1.052
0.944
0.97
0.984
0.924
0.88
0.954
1.03
0.95
0.994
1.01
0.93
0.914
0.974
0.98
0.95
0.994
1.04
0.94
0.924
0.964
0.96
0.91
0.944
0.96
0.91
0.88
0.87
0.824
0.91
0.944
0.85
0.824
0.924
0.994
0.996
0.92
0.93
0.97
0.98
0.91
0.914
0.92
0.934
0.874
0.894
0.92
0.964
0.91
0.93
0.97
0.894
0.934
1.024
0.99
0.89
0.914
0.97
0.984
0.91
0.96
0.964
0.864
0.854
0.834
0.81
0.884
1
0.994
1
0.984
0.894
0.91
0.934
0.85
0.81
0.82
0.844
0.86
0.94
0.954
0.92
0.84
0.86
0.862
0.83
0.79
0.804
0.86
0.88
0.844
0.88
0.91
0.894
0.94
0.924
0.88
0.91
0.944
0.88
0.85
0.884
0.89
0.88
0.84
